Price,Close,High,Low,Open,Volume,bull_egf,bear_egf,marker_bull_egf,marker_bear_egf
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2024-12-02,138.62045288085938,140.44031954365505,137.8105111334031,138.82043604874252,171682800,False,False,,
2024-12-03,140.25033569335938,140.5303151909217,137.9404972096011,138.25047342063522,164414000,True,False,,
2024-12-04,145.1300048828125,145.7799540199716,140.2803327562802,141.99022171712366,231224300,False,False,,
2024-12-05,145.05999755859375,146.5399932861328,143.9499969482422,145.11000061035156,172621200,False,False,,
2024-12-06,142.44000244140625,145.6999969482422,141.30999755859375,144.60000610351562,188505600,False,False,,
2024-12-09,138.80999755859375,139.9499969482422,137.1300048828125,138.97000122070312,189308600,False,False,,
2024-12-10,135.07000732421875,141.82000732421875,133.7899932861328,139.00999450683594,210020900,False,False,,
2024-12-11,139.30999755859375,140.1699981689453,135.2100067138672,137.36000061035156,184905200,False,False,,
2024-12-12,137.33999633789062,138.44000244140625,135.8000030517578,137.0800018310547,159211400,False,False,,
2024-12-13,134.25,139.60000610351562,132.5399932861328,138.94000244140625,231514900,False,True,,
2024-12-16,132.0,134.39999389648438,130.4199981689453,134.17999267578125,237951100,False,False,,
2024-12-17,130.38999938964844,131.58999633789062,126.86000061035156,129.08999633789062,259410300,False,False,,
2024-12-18,128.91000366210938,136.6999969482422,128.27999877929688,133.86000061035156,277444500,False,True,,
2024-12-19,130.67999267578125,134.02999877929688,129.5500030517578,131.75999450683594,209719200,False,False,,
2024-12-20,134.6999969482422,135.27999877929688,128.22000122070312,129.80999755859375,306528600,True,False,,
2024-12-23,139.6699981689453,139.7899932861328,135.1199951171875,136.27999877929688,176053500,False,False,,
2024-12-24,140.22000122070312,141.89999389648438,138.64999389648438,140.0,105157000,False,False,,
2024-12-26,139.92999267578125,140.85000610351562,137.72999572753906,139.6999969482422,116205600,False,False,,
2024-12-27,137.00999450683594,139.02000427246094,134.7100067138672,138.5500030517578,170582600,False,False,,
2024-12-30,137.49000549316406,140.27000427246094,134.02000427246094,134.8300018310547,167734700,False,False,,
2024-12-31,134.2899932861328,138.07000732421875,133.8300018310547,138.02999877929688,155659200,False,True,,
2025-01-02,138.30999755859375,138.8800048828125,134.6300048828125,136.0,198247200,False,False,,
2025-01-03,144.47000122070312,144.89999389648438,139.72999572753906,140.00999450683594,229322500,False,False,,
2025-01-06,149.42999267578125,152.16000366210938,147.82000732421875,148.58999633789062,265377400,False,False,,
